,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,1) Борщ из свежей капусты с картофелем 250г.,25,1,25,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"{'status': 2, 'id': '606f2cc9bc675132cd4059f3', 'kind': 'kkt', 'createdAt': '2021-04-10T08:01:52+03:00', 'statusDescription': {}, 'qr': 't=20210407T1215&s=276.00&fn=9251440300116692&i=65095&fp=2731757803&n=1', 'operation': {'date': '2021-04-07T12:15', 'type': 1, 'sum': 27600}, 'process': [{'time': '2021-04-08T16:18:18+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 27600, 'documentId': 65095, 'fsId': '9251440300116692', 'fiscalSign': '2731757803', 'date': '2021-04-07T12:15'}, 'ticket': {'document': {'receipt': {'dateTime': 1617786900, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 27600, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 65095, 'fiscalDriveNumber': '9251440300116692', 'fiscalSign': 2731757803, 'items': [{'name': '1) Борщ из свежей капусты с картофелем 250г.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 2500, 'productType': 1, 'quantity': 1, 'sum': 2500}, {'name': '- Сметана 10г.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 400, 'productType': 1, 'quantity': 1, 'sum': 400}, {'name': '2) Компот из смородины 200г.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 2200, 'productType': 1, 'quantity': 1, 'sum': 2200}, {'name': '3) Блинчик фаршированный творогом 85г. 1шт.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 3700, 'productType': 1, 'quantity': 2, 'sum': 7400}, {'name': '4) Картофельное пюре 150 г.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 2300, 'productType': 1, 'quantity': 1, 'sum': 2300}, {'name': '5) Свинина Праздничная 80г.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 10400, 'productType': 1, 'quantity': 1, 'sum': 10400}, {'name': '6) Салат Февральский 100г.', 'nds': 6, 'ndsSum': 0, 'paymentType': 4, 'price': 2400, 'productType': 1, 'quantity': 1, 'sum': 2400}], 'kktRegId': '0001414119056294    ', 'ndsNo': 27600, 'operationType': 1, 'operator': 'Продавец Загайнова А.С.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 143, 'retailPlace': 'закусочная №5', 'shiftNumber': 236, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 27600, 'user': 'ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""', 'userInn': '5408106490  '}}}, 'organization': {'name': 'ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""', 'inn': '5408106490'}, 'seller': {'name': 'ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""', 'inn': '5408106490'}}",t=20210407T1215&s=276.00&fn=9251440300116692&i=65095&fp=2731757803&n=1,,,
,- Сметана 10г.,4,1,4,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,,,,,
,2) Компот из смородины 200г.,22,1,22,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,,,,,
,3) Блинчик фаршированный творогом 85г. 1шт.,37,2,74,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,,,,,
,4) Картофельное пюре 150 г.,23,1,23,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,,,,,
,5) Свинина Праздничная 80г.,104,1,104,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,,,,,
,6) Салат Февральский 100г.,24,1,24,276,2021-04-07T12:15,закусочная №5,,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НОВОСИБИРСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",5408106490,,,,,
,Кетчуп HEINZ Томатный 350г дойпак,"84,98",1,"84,98","1196,95",2021-04-06T12:00,Торговый зал,"630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,"{'status': 2, 'id': '606eb2e10361cb161fe0d9e5', 'kind': 'kkt', 'createdAt': '2021-04-10T08:03:39+03:00', 'statusDescription': {}, 'qr': 't=20210406T1200&s=1196.95&fn=9280440300547355&i=125113&fp=2933084264&n=1', 'operation': {'date': '2021-04-06T12:00', 'type': 1, 'sum': 119695}, 'process': [{'time': '2021-04-08T07:38:11+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 119695, 'documentId': 125113, 'fsId': '9280440300547355', 'fiscalSign': '2933084264', 'date': '2021-04-06T12:00'}, 'ticket': {'document': {'receipt': {'dateTime': 1617699600, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 119695, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 125113, 'fiscalDriveNumber': '9280440300547355', 'fiscalSign': 2933084264, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Кетчуп HEINZ Томатный 350г дойпак', 'nds': 1, 'ndsSum': 1416, 'paymentType': 4, 'price': 8498, 'productType': 1, 'quantity': 1, 'sum': 8498}, {'name': 'Пакет-майка ПНД 29х54 20мкм ""Акции ЯРЧЕ""', 'nds': 1, 'ndsSum': 33, 'paymentType': 4, 'price': 200, 'productType': 1, 'quantity': 1, 'sum': 200}, {'name': 'Кофе JULIUS MEINL Президент зерно 500г', 'nds': 1, 'ndsSum': 18500, 'paymentType': 4, 'price': 36999, 'productType': 1, 'quantity': 3, 'sum': 110997}], 'kktRegId': '0001567329041967    ', 'nds18': 19949, 'operationType': 1, 'operator': 'Кассир: Павлова Н.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 52, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а', 'shiftNumber': 446, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 119695, 'user': 'ООО ""Камелот-А""', 'userInn': '7017187800  '}}}, 'organization': {'name': 'ООО ""Камелот-А""', 'inn': '7017187800'}, 'seller': {'name': 'ООО ""Камелот-А""', 'inn': '7017187800'}}",t=20210406T1200&s=1196.95&fn=9280440300547355&i=125113&fp=2933084264&n=1,,,
,"Пакет-майка ПНД 29х54 20мкм ""Акции ЯРЧЕ""",2,1,2,"1196,95",2021-04-06T12:00,Торговый зал,"630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,,,
,Кофе JULIUS MEINL Президент зерно 500г,"369,99",3,"1109,97","1196,95",2021-04-06T12:00,Торговый зал,"630090,НОВОСИБИРСК,УЛ.ТЕРЕШКОВОЙ,19а","ООО ""Камелот-А""",7017187800,"ООО ""Камелот-А""",7017187800,,,,,
,Цезарь XXL,245,1,245,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,"{'status': 2, 'id': '606edd4eb1d01860b288c622', 'kind': 'kkt', 'createdAt': '2021-04-10T08:03:49+03:00', 'statusDescription': {}, 'qr': 't=20210408T0055&s=410.00&fn=9280440301080039&i=5738&fp=2217408507&n=1', 'operation': {'date': '2021-04-08T00:55', 'type': 1, 'sum': 41000}, 'process': [{'time': '2021-04-08T10:39:12+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 41000, 'documentId': 5738, 'fsId': '9280440301080039', 'fiscalSign': '2217408507', 'date': '2021-04-08T00:55'}, 'ticket': {'document': {'receipt': {'dateTime': 1617832500, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 41000, 'fiscalDocumentFormatVer': 3, 'fiscalDocumentNumber': 5738, 'fiscalDriveNumber': '9280440301080039', 'fiscalSign': 2217408507, 'items': [{'name': 'Цезарь XXL', 'nds': 6, 'paymentType': 4, 'price': 24500, 'productType': 1, 'quantity': 1, 'sum': 24500}, {'name': '-1.7 Чесночный XXL', 'nds': 6, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 1, 'sum': 0}, {'name': '-3.2 Лук.марин. допы 30гр', 'nds': 6, 'paymentType': 4, 'price': 1500, 'productType': 1, 'quantity': 1, 'sum': 1500}, {'name': '-4.5 Без.Картофеля', 'nds': 6, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 2, 'sum': 0}, {'name': 'Доставка 150', 'nds': 6, 'paymentType': 4, 'price': 15000, 'productType': 4, 'quantity': 1, 'sum': 15000}, {'name': '- Позвонить', 'nds': 6, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 1, 'sum': 0}, {'name': 'Цезарь S', 'nds': 6, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 1, 'sum': 0}, {'name': '-1.2 Грибной S', 'nds': 6, 'paymentType': 4, 'price': 0, 'productType': 1, 'quantity': 1, 'sum': 0}], 'kktRegId': '0004969840047003    ', 'ndsNo': 41000, 'operationType': 1, 'operator': 'Райм Виктория Ивановна', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 13, 'retailPlace': 'ГРИЛЬНИЦА', 'shiftNumber': 155, 'taxationType': 4, 'appliedTaxationType': 4, 'totalSum': 41000, 'user': 'ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА', 'userInn': '222507544948'}}}, 'organization': {'name': 'ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА', 'inn': '222507544948'}, 'seller': {'name': 'ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА', 'inn': '222507544948'}}",t=20210408T0055&s=410.00&fn=9280440301080039&i=5738&fp=2217408507&n=1,,,
,-1.7 Чесночный XXL,0,1,0,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,-3.2 Лук.марин. допы 30гр,15,1,15,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,-4.5 Без.Картофеля,0,2,0,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,Доставка 150,150,1,150,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,- Позвонить,0,1,0,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,Цезарь S,0,1,0,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,-1.2 Грибной S,0,1,0,410,2021-04-08T00:55,ГРИЛЬНИЦА,,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,ЧЕЧИНА ЕЛЕНА ЮРЬЕВНА,222507544948,,,,,
,\\ Пакет БИО Добрянка большой 38+20х65/25,8,2,16,"4433,72",2021-04-06T13:02,Торговый зал,"630128, г.Новосибирск, ул. Кутателадзе, 4/4","ООО ""Русская поварня""",5403044264,"ООО ""Русская поварня""",5403044264,"{'status': 2, 'id': '606f30dfd1cd17105f7e0fa4', 'kind': 'kkt', 'createdAt': '2021-04-10T08:03:56+03:00', 'statusDescription': {}, 'qr': 't=20210406T1302&s=4433.72&fn=9251440300159886&i=54530&fp=2426129246&n=1', 'operation': {'date': '2021-04-06T13:02', 'type': 1, 'sum': 443372}, 'process': [{'time': '2021-04-08T16:35:44+00:00', 'result': 2}], 'query': {'operationType': 1, 'sum': 443372, 'documentId': 54530, 'fsId': '9251440300159886', 'fiscalSign': '2426129246', 'date': '2021-04-06T13:02'}, 'ticket': {'document': {'receipt': {'dateTime': 1617703320, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 443372, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 54530, 'fiscalDriveNumber': '9251440300159886', 'fiscalSign': 2426129246, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': '\\\\ Пакет БИО Добрянка большой 38+20х65/25', 'nds': 1, 'ndsSum': 267, 'paymentType': 4, 'price': 800, 'productType': 1, 'quantity': 2, 'sum': 1600}, {'name': 'Пельмени Сочные п/ф 1кг вес', 'nds': 2, 'ndsSum': 3946, 'paymentType': 4, 'price': 39900, 'productType': 1, 'quantity': 1.088, 'sum': 43411}, {'name': 'БЗМЖ Йогурт Простоквашино Классический 2.7', 'nds': 2, 'ndsSum': 1867, 'paymentType': 4, 'price': 10270, 'productType': 1, 'quantity': 2, 'sum': 20540}, {'name': 'БЗМЖ Молоко Ирмень 2.5% т/п/крыш 950г', 'nds': 2, 'ndsSum': 563, 'paymentType': 4, 'price': 6190, 'productType': 1, 'quantity': 1, 'sum': 6190}, {'name': 'БЗМЖ Йогурт Зеленый луг натуральный Абрико', 'nds': 2, 'ndsSum': 425, 'paymentType': 4, 'price': 4670, 'productType': 1, 'quantity': 1, 'sum': 4670}, {'name': 'БЗМЖ Творог Купино 9% пл/пак 400г', 'nds': 2, 'ndsSum': 2813, 'paymentType': 4, 'price': 15470, 'productType': 1, 'quantity': 2, 'sum': 30940}, {'name': 'Лед Палета Маракуйа и чиа к/к 75г', 'nds': 1, 'ndsSum': 2162, 'paymentType': 4, 'price': 12970, 'productType': 1, 'quantity': 1, 'sum': 12970}, {'name': 'Лед Палета Малина и садовая мята к/к 70г', 'nds': 1, 'ndsSum': 1578, 'paymentType': 4, 'price': 9470, 'productType': 1, 'quantity': 1, 'sum': 9470}, {'name': 'Напиток чайный Гербарус Спокойствие баланс', 'nds': 1, 'ndsSum': 3915, 'paymentType': 4, 'price': 23490, 'productType': 1, 'quantity': 1, 'sum': 23490}, {'name': 'Картофельное пюре 1кг вес', 'nds': 2, 'ndsSum': 854, 'paymentType': 4, 'price': 29900, 'productType': 1, 'quantity': 0.314, 'sum': 9389}, {'name': 'Перец фаршированный по-Домашнему 1кг вес', 'nds': 2, 'ndsSum': 2434, 'paymentType': 4, 'price': 99900, 'productType': 1, 'quantity': 0.268, 'sum': 26773}, {'name': 'Филе цыпленка в кисло-сладком соусе 1кг ве', 'nds': 2, 'ndsSum': 3982, 'paymentType': 4, 'price': 96900, 'productType': 1, 'quantity': 0.452, 'sum': 43799}, {'name': 'Цыпленок в устричном соусе 1кг вес', 'nds': 1, 'ndsSum': 3961, 'paymentType': 4, 'price': 69900, 'productType': 1, 'quantity': 0.34, 'sum': 23766}, {'name': 'БЗМЖ Сыр Чергинский МСЗ Российский 1кг вес', 'nds': 2, 'ndsSum': 1965, 'paymentType': 4, 'price': 53770, 'productType': 1, 'quantity': 0.402, 'sum': 21616}, {'name': 'Перец черный горошек Котани пл/пак 20г', 'nds': 1, 'ndsSum': 1078, 'paymentType': 4, 'price': 6470, 'productType': 1, 'quantity': 1, 'sum': 6470}, {'name': 'Клубника 1кг вес', 'nds': 2, 'ndsSum': 4696, 'paymentType': 4, 'price': 89990, 'productType': 1, 'quantity': 0.574, 'sum': 51654}, {'name': 'Голубика 125г', 'nds': 2, 'ndsSum': 2272, 'paymentType': 4, 'price': 24990, 'productType': 1, 'quantity': 1, 'sum': 24990}, {'name': 'Пирог с кетой и картофелем пластовой 1кг в', 'nds': 2, 'ndsSum': 2589, 'paymentType': 4, 'price': 61900, 'productType': 1, 'quantity': 0.46, 'sum': 28474}, {'name': 'Пирожок с печенью 70г', 'nds': 2, 'ndsSum': 725, 'paymentType': 4, 'price': 3990, 'productType': 1, 'quantity': 2, 'sum': 7980}, {'name': 'Пирожок с картофелем и грибами 70г', 'nds': 2, 'ndsSum': 540, 'paymentType': 4, 'price': 2970, 'productType': 1, 'quantity': 2, 'sum': 5940}, {'name': 'Пирожок с квашеной капустой 70г', 'nds': 2, 'ndsSum': 598, 'paymentType': 4, 'price': 3290, 'productType': 1, 'quantity': 2, 'sum': 6580}, {'name': 'Рулет маковый 300г', 'nds': 2, 'ndsSum': 2507, 'paymentType': 4, 'price': 13790, 'productType': 1, 'quantity': 2, 'sum': 27580}, {'name': 'Багет Артизан ржаной 200г', 'nds': 2, 'ndsSum': 281, 'paymentType': 4, 'price': 3090, 'productType': 1, 'quantity': 1, 'sum': 3090}, {'name': 'Жевательная резинка Дирол Вайт со вкус мят', 'nds': 1, 'ndsSum': 332, 'paymentType': 4, 'price': 1990, 'productType': 1, 'quantity': 1, 'sum': 1990}], 'kktRegId': '0004671485024044    ', 'nds10': 33057, 'nds18': 13293, 'operationType': 1, 'operator': 'Кассир Цугуй', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 80, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г.Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 265, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 443372, 'user': 'ООО ""Русская поварня""', 'userInn': '5403044264  '}}}, 'organization': {'name': 'ООО ""Русская поварня""', 'inn': '5403044264'}, 'seller': {'name': 'ООО ""Русская поварня""', 'inn': '5403044264'}}",t=20210406T1302&s=4433.72&fn=9251440300159886&i=54530&fp=2426129246&n=1,,,
